Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","67.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3074","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3022","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","97.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","94.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","832","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","975","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","47.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","52.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3394","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3417","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","107.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","107.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1099","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1099","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","72.28","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","72.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3699","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3691","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","109.71","Fc","Donnée calculée"
